,business,Q1,A,B,C,Q2,Q3,Q4,Q5,Q6
1,1700,Yes,One month,No,Separate container,No,No,When handling the animals,Between groups of similar tanks or containers,Blank
2,3pmi9,Yes,30 days,No,Separate container,No,No,When handling the animals.,Between individual animals,Blank
3,wecri,Yes,"1-3 months, same room, but cared for last","Sometimes, depends on source",Separate container,No,No,Never,Blank,Answered
4,2kovw,Yes,"Indefinitely, I don't mix any animals",No,Separate container,No,No,When handling the animals. When cleaning tanks,Between individual animals,Answered
5,hjus,No,Blank,Blank,Blank,No,No,When handling the animals. When cleaning tanks,Between groups of similar tanks or containers,Blank
6,wvOK,No,Blank,Blank,Blank,No,No,always,all options starting with between,Answered
7,JHD6,No,Blank,Blank,Blank,No,No,When cleaning tanks,Between groups of similar tanks,Blank
8,u7Qb,yes,30 days,no,a separate room,No,No,when handling and when cleaning,between groups of tanks,blank
9,v4MF,Yes,3 months,No,A separate room,"Yes, bleach","Yes, bleach, dry, doublebag before disposal",when cleaning tanks,Between groups of similar tanks,Blank
10,uunl,No,Blank,Blank,Blank,No,No,"When handling animals, and cleaning tanks",Between groups of tanks,Blank
11,pxzl,No,Blank,Blank,Blank,No,No,When handling animals and when cleaning tanks,Between groups of tanks,Blank
12,8x93,No,Blank,Blank,Blank,No,No,"When handling animals, and cleaning tanks",Between groups of tanks,Blank
13,xsl3,No,Blank,Blank,Blank,No,No,"When handling animals, and cleaning tanks",Between groups of tanks,Blank
14,bcsz,No,Blank,Blank,Blank,No,No,"When handling animals, and cleaning tanks",Between groups of tanks,Blank
15,AMBD,Yes,6 weeks,No,A separate room,No,No,"when handling, feeding, and cleaning tanks",Between groups of similar tanks,Blank
